Acronym	Term	Category
BGP	Border Gateway Patrol	protocol
OSPF	Open Shortest Path First	protocol
EIGRP	Enhanced Interior Gateway Routing Protocol	protocol
RIP	Routing Information Protocol	protocol
OSI	Open Systems Interconnection	model
PIN	Places in the Network	concept
ACL	Access Control List	config
DNS	Domain Name System	other
MAC	Media Access Control	config
ARP	Address Resolution Protocol	protocol
STP	Spanning Tree Protocol	protocol
BDPU	Bridge Protocol Data Unit	datatype
DHCP	Dynamic Host Configuration Protocol	protocol
PNAC	Port-based network access control	config
WAP	Wireless Access Point	device
BSSID	Basic Service Set Identifier	datatype
SSID	Service Set Identifier	datatype
WPA	Wi-Fi Protected Access	protocol
WEP	Wired Equivalent Privacy	protocol
TKIP	Temporal Key Integrity Protocol	protocol
CCMP	Cipher Block Chaining Message Authentication Code Protocol	protocol
GCMP	Galois/Counter Mode Protocol	protocol
PSK	Pre-Shared Key	crypto
PMK	Pairwise Master Key	crypto
SAE	Simultaneous Authentication of Equals	process
PAKE	Password Authenticated Key Exchange	process
WPS	Wi-Fi Protected Setup	config
DPP	Device Provisioning Protocol	protocol
NFC	Nearfield Communication	concept
IEEE	Institute of Electrical and Electronics Engineers	org
EAP	Extensible Authentication Protocol	protocol
EAPoW	EAP over wireless	protocol
PEAP	Protected Extensible Authentication Protocol	protocol
EAP-TTLS	EAP with Tunneled TLS	protocol
EAP-FAST	EAP with Flexible Autehntication via Secure Tunneling	protocol
PAC	Protected Access Credential	crypto
TPM	Trusted Platform Module	device
DRDoS	Distributed Reflection Denial of Service	attack
RTBH	Remotely Triggered Black Hole	other
NTP	Network Time Protocol	protocol
QoS	Quality of Service	concept
OWE	Opportunistic Wireless Encryption	crypto
SOC	Security Operations Center	division
NIST 	National Institute of Standards and Technology	org
CIA	Confidentiality, Integrity, Availability	concept
CIRT	Computer Incident Response team	division
CSIRT	Computer Security Incident Response team	division
CERT	Computer Emergency Response Team	division
CSF	CyberSecurity Framework	standard
ISO	International Organization for Standardization	org
CSA	Cloud Security Alliance	org
AICPA	American Institute of Certified Public Accountants	org
CIS	Center for Internet Security 	org
RMF 	Risk Management Framework	model
SSAE	Standards for Attestation Engagements	model
SOC	Service Organizational Control	model
SOX	Sarbanes Oxley Act	standard
OWASP	Open Web Application Security Project	model
NCP	National Checklist Program	standard
AUP	Acceptable Use Policy	other
IDS	Intrusion Detective System	device
APT	Advanced Persistant Threat	attack
TTP	Tactics, Techniques, and Procedures	other
SIEM	Security Informationand Event Management	device
ISAC	Information Sharing and Analysis Centers	org
ISAO	Information Sharing and Analysis Organizations	org
OSINT	Open Source Intelligence	other
CTI	Cyber Threat Intelligence	other
STIX	Structured Threat Information eXpression	model
TAXII	Trusted Automated eXchange of Indicator Information	protocol
AIS	Automated Indicator Sharing	other
TCP	Transmission Control Protocol	protocol
UDP	User Datagram Protocol	protocol
RAT	Remote Access Tool	attack
SNMP	Simple Network Management Protocol	protocol
BeEF	Browser Exploitation Framework	attack
ZAP	Zed Attack Proxy	attack
SCAP	Secure Network Automation Protocol	standard
OVAL	Open Vulnerability Assessment Language	protocol
XCCDF	Extensible Configuration Checklist Description Format	protocol
CVE	Common Vulnerabilities and Exposures	other
CVSS	Common Vulnerability Scoring System	model
PUP	Potentially Unwanted Programs	attack
PUA	Potentially Unwanted Applications	attack
